locus_tag	ftype	length_bp	gene	EC_number	COG	product
KENBAJHJ_00051	CDS	939				transcriptional activator of tdc operon [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00052	CDS	990				threonine dehydratase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00053	CDS	1332				HAAAP family L-threonine/ L-serine permease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00054	CDS	1209				acetate kinase II (anaerobic) [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00055	CDS	2295				2-ketobutyrate formate-lyase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00056	CDS	1365				L-serine deaminase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00057	CDS	1332				putative HAAAP family transport protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00058	CDS	1311				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00059	CDS	165				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00060	CDS	702				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00061	CDS	897				putative LysR family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00062	CDS	366				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00063	CDS	987				putative glutathione S-transferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00064	CDS	486				putative membrane-associated protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00065	CDS	300				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00066	CDS	399				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00067	CDS	306				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00068	CDS	369				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00069	CDS	384				putative outer membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00070	CDS	663				putative DedA family membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00071	CDS	1245				putative dicarboxylate permease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00072	CDS	969				putative resistance protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00073	CDS	999				putative dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00074	CDS	693				putative integral membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00075	CDS	498				putative metal-dependent hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00076	CDS	1137				putative methyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00077	CDS	2019				2,4-dieonyl-coa reductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00078	CDS	1380				putative acetylornithine aminotransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00079	CDS	1521				aerotaxis sensor receptor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00080	CDS	1566				putative methyl-accepting chemotaxis protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00081	CDS	645				putative transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00082	CDS	768				putative transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00083	CDS	1974				hypothetical protein
KENBAJHJ_00084	CDS	1029				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00085	CDS	573				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00086	CDS	264				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00087	CDS	510				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00088	CDS	228				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00089	CDS	201				hypothetical protein
KENBAJHJ_00090	CDS	228				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00091	CDS	225				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00092	CDS	594				hypothetical protein
KENBAJHJ_00093	CDS	2124				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00094	CDS	441				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00095	CDS	732				hypothetical protein
KENBAJHJ_00096	CDS	663				hypothetical protein
KENBAJHJ_00097	CDS	1005				hypothetical protein
KENBAJHJ_00098	CDS	1047				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00099	CDS	1770				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00100	CDS	855				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00101	CDS	1068				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00102	CDS	750				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00103	CDS	507				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00104	CDS	204				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00105	CDS	297				hypothetical protein
KENBAJHJ_00106	CDS	498				hypothetical protein
KENBAJHJ_00107	CDS	414				hypothetical protein
KENBAJHJ_00108	CDS	159				hypothetical protein
KENBAJHJ_00109	CDS	468				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00110	CDS	450				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00111	CDS	642				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00112	CDS	348				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00113	CDS	909				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00114	CDS	531				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00115	CDS	2112				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00116	CDS	570				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00117	CDS	1188				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00118	CDS	519				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00119	CDS	336				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00120	CDS	2445				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00121	CDS	486				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00122	CDS	1170				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00123	CDS	219				Fels-2 prophage protein [Salmonella virus Fels2]
KENBAJHJ_00124	tRNA	76				tRNA-Met(cat)
KENBAJHJ_00125	CDS	507				G/U mismatch specific DNA glycosylase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00126	CDS	1983				sigma 70 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00127	CDS	1746				DNA primase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00128	CDS	216				30S ribosomal subunit protein S21 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00129	CDS	1014				putative O-sialoglycoprotein endopeptidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00130	CDS	612				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00131	CDS	360				dihydroneopterin aldolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00132	CDS	822				bacitracin resistance [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00133	CDS	1242				tRNA nucleotidyl transferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00134	CDS	615				putative SH3 domain protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00135	CDS	1401				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00136	CDS	2844				adenylyl transferase for glutamine synthetase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00137	CDS	1434				putative sugar nucleotide transferase domain of ADP-L-glycero-D-manno-heptose synthase [Salmonella enterica subsp.enterica serovar Typhimurium str. LT2]
KENBAJHJ_00138	CDS	1680				hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00139	CDS	621				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00140	CDS	204				rpoS dependent glycogen biosynthesis protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00141	CDS	300				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00142	CDS	654				3,4 dihydroxy-2-butanone-4-phosphate synthase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00143	CDS	678				putative disulfide isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00144	CDS	672				putative thiol-disulfide isomerase and thioredoxin [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00145	CDS	1797				putative arylsulfate sulfotransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00146	CDS	177				hypothetical protein
KENBAJHJ_00147	CDS	774				putative divalent heavy-metal cations transporter [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00148	CDS	789				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00149	CDS	1164				putative glutathionylspermidine synthase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00150	CDS	672				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00151	CDS	1470				outer membrane channel [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00152	CDS	633				putative resistance protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00153	CDS	423				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00154	CDS	828				cyclic 3',5'-adenosine monophosphate phosphodiesterase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00155	CDS	582				putative esterase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00156	CDS	1893				DNA topoisomerase IV, subunit B [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00157	CDS	315				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00158	CDS	582				NADPH specific quinone oxidoreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00159	CDS	1350				putative sensory histidine kinase in regulatory system [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00160	CDS	660				putative transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00161	CDS	393				putative outer membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00162	CDS	867				putative bacterial regulatory helix-turn-helix protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00163	CDS	2259				DNA topoisomerase IV, subunit A [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00164	CDS	738				1-acyl-sn-glycerol-3-phosphate acyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00165	CDS	1413				suppressor of ftsI [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00166	CDS	1308				putative integral membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00167	CDS	483				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00168	CDS	984				putative dicarboxylate-binding periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00169	CDS	2172				putative Fe-S oxidoreductase family 2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00170	CDS	195				hypothetical protein
KENBAJHJ_00171	CDS	456				putative diadenosine tetraphosphate (Ap4A) hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00172	CDS	1455				putative cation transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00173	CDS	828				2,5-diketo-D-gluconate reductase A [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00174	CDS	1164				putative alcohol dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00175	CDS	918				putative AraC/XylS family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00176	CDS	660				putative DedA family membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00177	CDS	1188				cystathionine beta-lyase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00178	CDS	138				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00179	CDS	735				uptake of enterochelin [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00180	CDS	426				uptake of enterochelin [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00181	CDS	885				putative oxidoreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00182	CDS	405				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00183	CDS	411				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00184	CDS	504				putative ATP-dependent RNA helicase-like protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00185	CDS	495				putative membrane-associated protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00186	CDS	1644				putative methyl-accepting chemotaxis protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00187	CDS	288				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00188	CDS	1119				putative Ni/Fe hydrogenases, small subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00189	CDS	987				hypothetical protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00190	CDS	1179				putative cytochrome Ni/Fe component of hydrogenase-2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00191	CDS	1704				hydrogenase-2, large subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00192	CDS	495				putative processing element for hydrogenase-2 [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00193	CDS	489				putative hydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00194	CDS	342				putative hydrogenase expression/formation protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00195	CDS	249				hydrogenase-2 operon protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00196	CDS	1053				putative ferrichrome-binding periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00197	CDS	711				molybdenum-binding periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00198	CDS	867				putative glutathione S-transferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00199	CDS	1857				glutathionylspermidine amidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00200	CDS	1059				putative methyl-accepting chemotaxis protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00201	CDS	1413				putative uronate isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00202	CDS	1473				putative D-mannonate oxidoreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00203	CDS	1185				putative mannonate hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00204	CDS	195				hypothetical protein
KENBAJHJ_00205	CDS	1305				putative permease [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00206	CDS	879				putative amidohydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00207	CDS	924				chitin deacetylase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00208	CDS	486				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00209	CDS	381				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00210	CDS	1485				putative NAD-dependent aldehyde dehydrogenase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00211	CDS	1302				putative oxidoreductase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00212	CDS	375				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00213	CDS	1500				putative amino acid transporter [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00214	CDS	558				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00215	CDS	684				putative response regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00216	CDS	1185				putative arylsulfatase regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00217	CDS	1740				putative arylsulfatase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00218	CDS	879				putative LysR family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00219	CDS	843				putative LysR family transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00220	CDS	528				putative monoamine oxidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00221	CDS	1326				putative acetyl-CoA hydrolase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00222	CDS	381				putative lactoylglutathione lyase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00223	tRNA	76				tRNA-Phe(gaa)
KENBAJHJ_00224	CDS	708				putative inner membrane protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00225	CDS	2136				ornithine decarboxylase isozyme [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00226	CDS	210				MFS family nucleoside transport [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00227	CDS	231				MFS family nucleoside transport [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00228	CDS	1086				membrane-bound lytic murein transglycosylase C [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00229	CDS	276				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00230	CDS	1053				adenine DNA glycosylase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00231	CDS	720				putative S-adenosylmethionine-dependent methyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00232	CDS	327				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00233	CDS	720				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00234	CDS	1047				periplasmic L-asparaginase II [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00235	CDS	1008				putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00236	CDS	1137				putative oxidase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00237	CDS	594				putative xanthosine triphosphate pyrophosphatase [Salmonella enterica subsp. enterica serovar Typhimurium str.LT2]
KENBAJHJ_00238	CDS	291				putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00239	CDS	567				putative integral membran resistance protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
KENBAJHJ_00240	CDS	705				putative enzyme with a TIM-barrel fold [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
